Drug_ID,Protein_ID
DB00717,3284
DB09070,3284
DB00997,4842
DB00352,3251
DB00993,3251
DB00150,121278
DB13749,1152
DB00127,6303
DB00131,353
DB00150,7166
DB00461,1645
DB00776,1645
DB01039,1645
DB06077,1645
DB12612,1645
DB00687,3291
DB00741,3291
DB01234,3291
DB14631,3291
DB14649,3291
DB00435,217
DB00727,217
DB01612,217
DB06154,217
DB06770,217
DB09117,217
DB00550,1621
DB00988,1621
DB06774,1621
DB09130,1621
DB09072,7915
DB00152,27010
DB00163,2729
DB14001,2729
DB14002,2729
DB00134,4482
DB00139,6389
DB02209,55163
DB09282,8654
DB00997,4722
DB01708,3292
DB00130,440
DB06695,4835
DB00161,7407
DB00157,124
DB00898,124
DB00150,7453
DB13620,486
DB00122,1120
DB14006,1120
DB13928,4023
DB00179,240
DB00586,240
DB09061,240
DB09285,240
DB14011,240
DB09130,7299
DB00811,22978
DB00035,5743
DB00250,5743
DB00360,5743
DB00515,5743
DB00620,5743
DB00720,5743
DB00773,5743
DB00856,5743
DB00884,5743
DB00887,5743
DB00963,5743
DB01041,5743
DB01395,5743
DB05095,5743
DB05804,5743
DB05875,5743
DB06195,5743
DB06436,5743
DB06774,5743
DB06804,5743
DB08819,5743
DB09214,5743
DB09285,5743
DB09295,5743
DB00997,4846
DB06154,4846
DB09237,4846
DB00158,8836
DB00563,8836
DB13928,4311
DB01593,759
DB14487,759
DB13749,107
DB00130,883
DB00127,112483
DB00165,57026
DB00134,51734
DB00118,6723
DB00134,4144
DB00997,374291
DB09061,246
DB14011,246
DB00130,8833
DB00993,8833
DB14533,760
DB00544,7298
DB00563,7298
DB00461,3290
DB00635,3290
DB00687,3290
DB00741,3290
DB01234,3290
DB14631,3290
DB14649,3290
DB00158,1719
DB00555,1719
DB00563,1719
DB01157,1719
DB08878,1719
DB00396,1586
DB00882,1586
DB01234,1586
DB01424,1586
DB01708,1586
DB02901,1586
DB04630,1586
DB14649,1586
DB09395,55902
DB11936,55902
DB00594,26
DB09130,26
DB00131,270
DB00139,8801
DB00157,127
DB00898,127
DB00544,5471
DB00157,125
DB00898,125
DB00134,4143
DB00515,1579
DB00636,1579
DB00738,1579
DB00755,1579
DB00898,1579
DB01234,1579
DB04977,1579
DB11156,1579
DB13125,1579
DB14649,1579
DB00358,43
DB00863,43
DB00940,43
DB01364,43
DB00134,22921
DB00461,1109
DB00717,1109
DB00776,1109
DB06077,1109
DB00146,1594
DB00153,1594
DB14840,3815
DB00115,326625
DB00898,126
DB14487,126
DB14533,126
DB13749,513
DB05382,7173
DB13257,7018
DB11652,2064
DB00161,586
DB00996,586
DB00122,1103
DB14006,1103
DB00157,131
DB00898,131
DB00153,120227
DB00169,120227
DB00139,444
DB06412,6715
DB00134,4141
DB00161,5096
DB00153,1593
DB00169,1593
DB06410,1593
DB06777,1593
DB09462,216
DB09270,3156
DB00741,6716
DB00776,8644
DB00997,8644
DB01039,8644
DB09241,645
DB12612,224
DB00709,5130
DB00145,2731
DB00461,1646
DB00776,1646
DB01039,1646
DB12612,1646
DB00122,55349
DB14006,55349
DB00709,51727
DB01262,51727
DB08934,51727
DB09110,2936
DB11135,2936
DB11590,2936
DB00411,5321
DB00445,5321
DB00578,5321
DB01083,5321
DB04786,5321
DB04827,5321
DB05029,5321
DB08909,5406
DB00150,3620
DB01065,3620
DB00563,2356
DB06813,2356
DB09332,79001
DB00993,3615
DB00997,4720
DB00252,1584
DB00292,1584
DB00421,1584
DB00501,1584
DB00741,1584
DB01011,1584
DB01026,1584
DB01110,1584
DB01234,1584
DB01388,1584
DB04630,1584
DB14539,1584
DB14540,1584
